invoice_no,vendor_id,invoice_date,currency,po_number,amount,status,invoice_description,lines_description,billing_tax_id,billing_address
5105600001,0000169446,2025-07-21,USD,4500000041,18205.46,posted,"Tax invoice: spare parts - goods supplied, second quarter 2025","[{""sno"": 1, ""text"": ""spare parts - goods supplied, second quarter 2025"", ""qty"": 1, ""amount"": ""18205.46""}]",,"118 Beckford Rd, Newark NJ, 43592"
5105600002,0000140112,2026-01-25,GBP,4500000022,57597.71,posted,"Invoice for polypropylene resin - goods supplied, Q4/2025","[""polypropylene resin - goods supplied, Q4/2025""]",GB119756443,"104 Quayside Trading Estate, Swansea, SA13 8DV, GB"
5105600003,0000155836,2025-10-10,USD,4500000082,58694.75,posted,"Tax invoice: preventive maintenance - services rendered, July to September 2025","[{""sno"": 1, ""text"": ""preventive maintenance - services rendered, July to September 2025"", ""qty"": 1, ""amount"": ""58694.75""}]",60-5517580,"87 Union Wharf Drive, Newark NJ, 20821"
5105600004,0000123194,2025-02-28,USD,4500000012,17337.07,posted,"Invoice for vitamin E acetate deliveries, Jan/2025","[{""sno"": 1, ""text"": ""vitamin E acetate deliveries, Jan/2025"", ""qty"": 1, ""amount"": ""17337.07""}]",,"237 Foundry Avenue, Tacoma WA, US"
5105600005,0000141766,2025-10-21,USD,4500000073,67104.15,posted,"Tax invoice: supply of polystyrene sheet, Q3/2025","[""supply of polystyrene sheet, Q3/2025""]",60-3019818,"157 Depot Street, Tacoma WA, 84800"
5105600006,0000140112,2025-07-22,GBP,4500000072,10051.65,posted,"Tax invoice: corrugated carton deliveries, Q2/2025","[{""sno"": 1, ""text"": ""corrugated carton deliveries, Q2/2025"", ""qty"": 1, ""amount"": ""2810.17""}, {""sno"": 2, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""7241.48""}]",GB119756443,"104 Quayside Trading Estate, Swansea, SA13 8DV"
5105600007,0000170913,2026-02-02,USD,4500000092,32062.25,posted,"Billing - provision of boiler inspection, October to December 2025","[""provision of boiler inspection, October to December 2025"", ""administration fee"", ""delivery charges""]",34-3076996,"135 Depot St, Newark NJ, 87314, US"
5105600008,0000160317,2024-11-03,USD,4500000085,53504.10,posted,"Invoice for plant engineering support - services rendered, third quarter 2024","[""plant engineering support - services rendered, third quarter 2024"", ""fuel surcharge"", ""delivery charges""]",43-6736587,"130 Harbor Point Road, Milwaukee WI, 71714"
5105600009,0000157291,2024-10-18,USD,4500000033,60352.27,posted,"Billing - plant engineering support works, Jul-Sep 2024","[{""sno"": 1, ""text"": ""plant engineering support works, Jul-Sep 2024"", ""qty"": 1, ""amount"": ""15363.69""}, {""sno"": 2, ""text"": ""handling charges"", ""qty"": 1, ""amount"": ""44988.58""}]",45-2474884,"215 Depot St, Fresno CA, 81130"
5105600010,0000118340,2025-04-07,USD,4500000009,26625.81,posted,"bakers yeast - goods supplied, March 2025 as per agreement","[{""sno"": 1, ""text"": ""bakers yeast - goods supplied, March 2025"", ""qty"": 1, ""amount"": ""26625.81""}]",11-4367691,"174 Cooperage Dr, Newark NJ, 91970, US"
5105600011,0000112938,2024-04-04,USD,4500000006,5925.37,posted,"Billing - paprika extract - goods supplied, March 2024","[""paprika extract - goods supplied, March 2024"", ""fuel surcharge"", ""administration fee""]",66-8424535,"197 Canal Street, Tacoma WA, 32777, US"
5105600012,0000161885,2024-09-02,USD,4500000036,6092.35,posted,"provision of plant engineering support, month of July 2024","[{""sno"": 1, ""text"": ""provision of plant engineering support, month of July 2024"", ""qty"": 1, ""amount"": ""6092.35""}]",89-9357721,"65 Ironworks Parkway, Tacoma WA, 56035, US"
5105600013,0000177260,2024-10-05,USD,4500000046,63879.05,posted,"provision of pallet storage, third quarter 2024","[{""sno"": 1, ""text"": ""provision of pallet storage, third quarter 2024"", ""qty"": 1, ""amount"": ""63879.05""}]",70-6250260,"27 Harbor Point Rd, Fresno CA, 78324, US"
5105600014,0000170913,2026-01-04,USD,4500000092,18628.94,posted,"Tax invoice: boiler inspection carried out, Q4/2025","[{""sno"": 1, ""text"": ""boiler inspection carried out, Q4/2025"", ""qty"": 1, ""amount"": ""18628.94""}]",34-3076996,"135 Depot Street, Newark NJ, 87314, US"
5105600015,0000143209,2025-07-17,USD,4500000074,38790.39,posted,"Tax invoice: polystyrene sheet - goods supplied, Apr-Jun 2025","[{""sno"": 1, ""text"": ""polystyrene sheet - goods supplied, Apr-Jun 2025"", ""qty"": 1, ""amount"": ""21853.01""}, {""sno"": 2, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""16937.38""}]",443441110,"112 Ironworks Parkway, Chicago IL, 98375"
5105600016,0000166375,2025-02-01,USD,4500000089,19960.66,posted,"Tax invoice: charges for emergency callout support, October to December 2024","[""charges for emergency callout support, October to December 2024""]",,"220 Union Wharf Drive, Savannah GA, 12043, US"
5105600017,0000143209,2025-04-09,USD,4500000074,13139.54,posted,"Tax invoice: charges for polystyrene sheet, Q1/2025","[{""sno"": 1, ""text"": ""charges for polystyrene sheet, Q1/2025"", ""qty"": 1, ""amount"": ""8430.25""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""1352.37""}, {""sno"": 3, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""3356.92""}]",443441110,"112 Ironworks Parkway, Chicago IL, 98375, US"
5105600018,0000167802,2024-04-14,USD,4500000040,73064.80,posted,"preventive maintenance works, Q1/2024 as per agreement","[{""sno"": 1, ""text"": ""preventive maintenance works, Q1/2024"", ""qty"": 1, ""amount"": ""73064.80""}]",92-3944387,"217 Kiln Lane, Milwaukee WI, 83103, US"
5105600019,0000182157,2025-06-20,USD,4500000049,38763.47,posted,"Tax invoice: polypropylene resin consignments, May 2025","[""polypropylene resin consignments, May 2025""]",24-6614774,"209 Union Wharf Dr, Louisville KY, 98835, US"
5105600020,0000151028,2026-01-14,USD,4500000029,55078.88,posted,"Invoice for charges for bottle closure, Oct-Dec 2025","[""charges for bottle closure, Oct-Dec 2025"", ""handling charges""]",,"102 Cooperage Drive, Cincinnati OH, 82066"
5105600021,0000182157,2024-02-22,USD,4500000099,22613.71,posted,"Tax invoice: supply of polypropylene resin, Jan/2024","[""supply of polypropylene resin, Jan/2024""]",24-6614774,"209 Union Wharf Drive, Louisville KY, US"
5105600022,0000130882,2025-10-05,USD,4500000066,13478.14,posted,"Invoice for oxybenzone deliveries, third quarter 2025","[""oxybenzone deliveries, third quarter 2025""]",58-7426450,"189 Harbor Point Rd, Tacoma WA, 99806"
