invoice_no,line_number,po_number,po_line_number,amount,line_text
5105600001,10,4500000041,20,18205.46,Spare parts - Q2-2025
5105600002,10,4500000022,40,57597.71,PP resin - Q4-2025
5105600003,10,4500000082,30,58694.75,Prev maint - Q3-2025
5105600004,10,4500000012,10,17337.07,Vit E acetate - Jan25
5105600005,10,4500000073,30,67104.15,PS sheet Q3/25
5105600006,10,4500000072,20,10051.65,Q2-2025 corr carton
5105600007,10,4500000092,40,32062.25,Boiler insp Q4-2025
5105600008,10,4500000085,30,53504.10,Plant eng support - Q3-2024
5105600009,10,4500000033,30,60352.27,Plant eng support - Q3-2024
5105600010,10,4500000009,10,26625.81,Bakers yeast 03/25
5105600011,10,4500000006,10,5925.37,Mar24 paprika extract
5105600012,10,4500000036,10,6092.35,Plant eng support - Jul24
5105600013,10,4500000046,30,63879.05,Pallet storage Q3/24
5105600014,10,4500000092,40,18628.94,Boiler insp Q4 25
5105600015,10,4500000074,20,38790.39,PS sheet - Q2 25
5105600016,10,4500000089,40,19960.66,Q4 24 emerg callout support
5105600017,10,4500000074,10,13139.54,PS sheet Q1 25
5105600018,10,4500000040,10,73064.80,Prev maint Q1 24
5105600019,10,4500000049,10,38763.47,PP resin - May 2025
5105600020,10,4500000029,50,55078.88,Bottle closure - Q4 25
5105600021,10,4500000099,10,22613.71,PP resin Jan24
5105600022,10,4500000066,30,13478.14,Oxybenzone Q3 25
5105600023,10,4500000022,30,6398.24,Q3-2025 label stock
5105600024,10,4500000002,20,41770.29,Q2 24 cane sugar
5105600025,10,4500000046,30,13219.59,Q3-2024 pallet storage
5105600026,10,4500000094,50,22532.06,Whse handling Q4-2025
5105600027,10,4500000005,30,58488.48,Cane sugar - Q3-2025
5105600028,10,4500000092,10,37040.26,Q1 25 spare parts
5105600029,10,4500000053,20,89867.65,Cane sugar - Q2 24
5105600030,10,4500000089,10,34777.96,Q1/24 boiler insp
5105600031,10,4500000086,10,29911.08,Prev maint - Aug24
5105600032,10,4500000027,10,23878.25,Shrink sleeve - 05/24
5105600033,10,4500000034,20,73550.88,Conveyor servicing Q2-2025
5105600034,10,4500000007,20,33191.70,Bakers yeast - Q2/24
5105600035,10,4500000040,40,58033.26,Q4/24 prev maint
5105600036,10,4500000092,10,53057.55,Spare parts Q1 25
5105600037,10,4500000030,10,42748.55,Shrink sleeve Q1 25
5105600038,10,4500000082,30,66696.09,Q3-2025 prev maint
5105600039,10,4500000009,10,7449.89,Mar 2025 bakers yeast
5105600040,10,4500000038,10,26580.87,Q1-2024 boiler insp
5105600041,10,4500000024,10,22492.96,PS sheet - Q1 24
5105600042,10,4500000084,40,84015.86,Prev maint - Q4 24
5105600043,10,4500000067,10,27258.45,Benzophen Sep24
5105600044,10,4500000060,10,12995.90,Q1 24 invert syrup
5105600045,10,4500000005,20,59175.31,Bakers yeast Q2-2025
5105600046,10,4500000031,30,86897.62,Conveyor servicing - Q3 25
5105600047,10,4500000078,40,88804.89,Corr carton - Q4/25
5105600048,10,4500000060,50,89199.79,Corn syrup - Q4/24
5105600049,10,4500000036,10,10544.57,Plant eng support - 07/24
5105600050,10,4500000079,10,31164.13,Label stock - Q1-2025
5105600051,10,4500000096,10,42857.86,11/25 inbound freight
5105600052,10,4500000033,10,41149.17,Boiler insp Q1-2024
5105600053,10,4500000040,30,14380.58,Boiler insp Q3 24
5105600054,10,4500000039,10,14905.36,Conveyor servicing - 12/24
5105600055,10,4500000032,10,24705.17,Boiler insp 03/25
5105600056,10,4500000055,10,11152.79,Corn syrup May24
5105600057,10,4500000082,10,55132.64,Plant eng support Q1/25
5105600058,10,4500000019,10,32140.73,Emuls blend Q1/25
5105600059,10,4500000021,30,52955.90,Q3 24 PS sheet
5105600060,10,4500000057,10,47710.29,Q1-2024 corn syrup
5105600061,10,4500000031,40,85282.63,Equip calib - Q4-2025
5105600062,10,4500000099,10,10259.25,Jan24 PP resin
5105600063,10,4500000051,10,10206.05,Invert syrup May 2024
5105600064,10,4500000022,30,5404.37,Label stock Q3-2025
5105600065,10,4500000086,10,4534.06,Prev maint - 08/24
5105600066,10,4500000076,10,37758.94,Corr carton Q1/24
5105600067,10,4500000056,10,10928.19,Cane sugar - Oct25
5105600068,10,4500000038,40,119650.67,Prev maint - Q4 24
5105600069,10,4500000021,30,37962.67,Q3-2024 PS sheet
5105600070,10,4500000049,10,3620.00,PP resin - May 2025
5105600071,10,4500000079,10,4194.27,Q1 25 label stock
5105600072,10,4500000061,40,15911.04,Oxybenzone Q4/24
5105600073,10,4500000074,20,25816.70,Q2/25 PS sheet
5105600074,10,4500000078,10,41926.87,Bottle closure - Q1/25
5105600075,10,4500000041,40,11468.00,Q4/25 boiler insp
5105600076,10,4500000085,20,23697.46,Prev maint Q2/24
5105600077,10,4500000081,10,24535.02,Dec 2024 conveyor servicing
5105600078,10,4500000001,10,3770.19,Refined flour Sep 2025
5105600079,10,4500000058,20,11963.84,Invert syrup Q2-2024
5105600080,10,4500000059,10,73347.72,Cocoa powder - Q1 25
5105600081,10,4500000079,40,64034.38,Q4/25 PS sheet
5105600082,10,4500000031,20,87634.96,Spare parts - Q2-2025
5105600083,10,4500000057,50,47576.86,Food grade salt Q4/24
5105600084,10,4500000043,20,55528.85,Q2-2024 emerg callout support
5105600085,10,4500000002,10,60242.08,Refined flour Q1/24
5105600086,10,4500000025,30,35299.21,Q3/25 flexible film
5105600087,10,4500000054,10,111289.50,Q1/25 paprika extract
5105600088,10,4500000020,10,2262.17,Dec25 metofluthrin
5105600089,10,4500000047,10,11846.86,Pallet storage Jan 2024
