po_number,line_number,description,amount,cost_centre,wbse
4500000001,10,refined flour supply - Sep 2025,14555.00,0000001020,
4500000002,10,Q1 2024 - refined flour supply,123114.00,0000001030,
4500000002,20,Q2 2024 - cane sugar supply,72923.00,0000001030,
4500000002,30,Q3 2024 - cane sugar supply,65637.30,,PRJ-2024-007.1
4500000002,40,Q4 2024 - cane sugar supply,109904.00,0000001030,
4500000003,10,Q1 2025 - cane sugar supply,118895.00,0000001010,
4500000003,20,Q1 2025 - refined flour supply,85278.70,0000001030,
4500000003,30,Q2 2025 - corn syrup supply,81850.00,0000001020,
4500000003,40,Q3 2025 - paprika extract supply,70523.00,0000001020,PRJ-2025-002.1
4500000003,50,Q4 2025 - bakers yeast supply,58004.00,0000001010,
4500000004,10,cocoa powder supply - Jan 2024,17225.20,0000001030,
4500000005,10,Q1 2025 - refined flour supply,137171.00,0000001020,
4500000005,20,Q2 2025 - bakers yeast supply,69987.00,0000001010,
4500000005,30,Q3 2025 - cane sugar supply,118801.00,0000001010,PRJ-2024-007.1
4500000005,40,Q3 2025 - refined flour supply,121160.60,0000001010,
4500000005,50,Q4 2025 - invert syrup supply,49719.00,,PRJ-2025-002.1
4500000006,10,paprika extract supply - Mar 2024,10575.35,,PRJ-2024-007.1
4500000007,10,Q1 2024 - paprika extract supply,67599.65,0000001010,
4500000007,20,Q2 2024 - bakers yeast supply,76224.00,0000001020,
4500000007,30,Q3 2024 - paprika extract supply,34462.45,0000001030,
4500000007,40,Q4 2024 - corn syrup supply,84139.50,,PRJ-2025-002.1
4500000008,10,paprika extract supply - Aug 2024,25025.00,,PRJ-2024-007.1
4500000009,10,bakers yeast supply - Mar 2025,51714.00,,PRJ-2024-007.1
4500000010,10,Q1 2024 - cane sugar supply,120682.35,0000001030,
4500000010,20,Q2 2024 - paprika extract supply,119684.35,0000001010,
4500000010,30,Q3 2024 - paprika extract supply,51004.00,0000001010,
4500000010,40,Q4 2024 - invert syrup supply,15238.00,0000001030,PRJ-2024-007.1
4500000011,10,oxybenzone supply - Dec 2024,48716.95,,PRJ-2025-002.1
4500000012,10,vitamin E acetate supply - Jan 2025,38682.20,,PRJ-2025-018.1
4500000013,10,emulsifier blend supply - Oct 2024,56006.00,0000001030,
4500000014,10,Q1 2024 - emulsifier blend supply,141725.00,,PRJ-2025-018.1
4500000014,20,Q2 2024 - vitamin E acetate supply,45332.00,,PRJ-2025-018.1
4500000014,30,Q3 2024 - benzophenone supply,105837.00,,PRJ-2025-018.1
4500000014,40,Q4 2024 - vitamin E acetate supply,77090.00,,PRJ-2025-002.1
4500000015,10,titanium dioxide supply - Aug 2025,57734.00,0000001220,
4500000016,10,Q1 2025 - vitamin E acetate supply,119272.00,0000001210,PRJ-2025-002.1
4500000016,20,Q2 2025 - metofluthrin supply,114378.00,,PRJ-2025-002.1
4500000016,30,Q3 2025 - vitamin E acetate supply,103605.00,0000001030,
4500000016,40,Q4 2025 - metofluthrin supply,96959.00,0000001220,
4500000017,10,Q1 2024 - avobenzone supply,74302.00,,PRJ-2025-002.1
4500000017,20,Q2 2024 - oxybenzone supply,66343.00,0000001220,
4500000017,30,Q2 2024 - metofluthrin supply,80411.00,0000001210,
4500000017,40,Q3 2024 - oxybenzone supply,55593.45,0000001220,
4500000017,50,Q4 2024 - benzophenone supply,95660.05,0000001220,
4500000018,10,Q1 2025 - avobenzone supply,107928.55,0000001210,
4500000018,20,Q2 2025 - benzophenone supply,61662.00,0000001030,
4500000018,30,Q3 2025 - emulsifier blend supply,80609.60,0000001220,
4500000018,40,Q4 2025 - metofluthrin supply,94664.00,,PRJ-2025-018.1
4500000019,10,Q1 2025 - emulsifier blend supply,71438.00,0000001220,
4500000019,20,Q2 2025 - oxybenzone supply,127671.80,0000001220,
4500000019,30,Q3 2025 - avobenzone supply,16169.00,0000001210,
4500000019,40,Q4 2025 - metofluthrin supply,125721.00,,PRJ-2025-018.1
4500000020,10,metofluthrin supply - Dec 2025,3643.00,,PRJ-2025-002.1
4500000021,10,Q1 2024 - label stock supply,38710.00,0000001310,
4500000021,20,Q2 2024 - corrugated carton supply,87580.00,,PRJ-2025-018.1
4500000021,30,Q3 2024 - polystyrene sheet supply,141223.45,0000001310,
4500000021,40,Q4 2024 - corrugated carton supply,31004.60,0000001040,
4500000022,10,Q1 2025 - corrugated carton supply,113460.00,0000001310,
4500000022,20,Q2 2025 - bottle closure supply,12345.00,,PRJ-2025-018.1
4500000022,30,Q3 2025 - label stock supply,12806.25,,PRJ-2025-018.1
4500000022,40,Q4 2025 - polypropylene resin supply,145101.00,0000001310,
4500000023,10,Q1 2024 - corrugated carton supply,68512.00,,PRJ-2025-002.2
4500000023,20,Q1 2024 - polypropylene resin supply,16242.00,0000001040,
4500000023,30,Q2 2024 - flexible film supply,73418.55,0000001310,
4500000023,40,Q2 2024 - bottle closure supply,68012.00,0000001310,
4500000023,50,Q3 2024 - corrugated carton supply,26314.00,,PRJ-2025-002.2
4500000023,60,Q4 2024 - polypropylene resin supply,26032.00,0000001040,PRJ-2025-002.2
4500000024,10,Q1 2024 - polystyrene sheet supply,85755.00,0000001040,
4500000024,20,Q2 2024 - label stock supply,90002.00,0000001040,
4500000024,30,Q3 2024 - shrink sleeve supply,146876.00,,PRJ-2025-002.2
4500000024,40,Q4 2024 - flexible film supply,56069.00,0000001310,
4500000025,10,Q1 2025 - flexible film supply,51154.00,0000001310,
4500000025,20,Q2 2025 - shrink sleeve supply,63723.00,0000001040,
4500000025,30,Q3 2025 - flexible film supply,63409.00,0000001040,
4500000025,40,Q4 2025 - flexible film supply,26167.30,0000001310,
4500000026,10,Q1 2024 - corrugated carton supply,32846.00,0000001040,PRJ-2025-018.1
